Disease Name,Symptoms,Medicine Name,Dosage Instructions
Typhoid,"Fever, Cough, Fatigue",Isoniazid,Inject once daily
Food Poisoning,"Shortness of breath, Chest pain",Ventolin,Apply cream twice a day
Malaria,"Shortness of breath, Chest pain",Ventolin,Take 5ml syrup before bedtime
Pneumonia,"Jaundice, Dark urine, Fatigue",Methotrexate,Take 5ml syrup before bedtime
Sinusitis,"Wheezing, Shortness of breath",Loratadine,1 capsule every morning with food
Malaria,"Swollen salivary glands, Fever",Azithromycin,1 tablet every 12 hours
COVID-19,"Cough, Mucus production",Zinc Sulfate,Use inhaler as needed
Asthma,"Skin rash, Fever",Zinc Sulfate,Take with water after meals
Hepatitis C,"Headache, Dizziness, Blurred vision",Vitamin C,1 capsule every morning with food
Hepatitis B,"Nausea, Sensitivity to light",Metformin,Take before sleep
Dengue,"Fever, Cough, Fatigue",Aspirin,Take with water after meals
Influenza,"Headache, Dizziness, Blurred vision",Aspirin,Take 1 tablet every 6 hours
Dengue,"Nausea, Vomiting, Diarrhea",Ventolin,Take with water after meals
Tuberculosis,"Abdominal pain, High fever, Loss of appetite",Ibuprofen,1 capsule every morning with food
Typhoid,"Facial pain, Runny nose, Headache",Amoxicillin,Use inhaler as needed
Influenza,"Fever, Loss of taste/smell",Loratadine,Take before sleep
Sinusitis,"Wheezing, Shortness of breath",Azithromycin,Use inhaler as needed
Migraine,"Nausea, Vomiting, Diarrhea",Doxycycline,Take 1 tablet every 6 hours
Hepatitis B,"Frequent urination, Increased thirst",Amoxicillin,Apply cream twice a day
Hypertension,"Abdominal pain, High fever, Loss of appetite",Azithromycin,1 capsule every morning with food
Malaria,"Nausea, Vomiting, Diarrhea",Aspirin,Use inhaler as needed
Typhoid,"Wheezing, Shortness of breath",Ventolin,Inject once daily
Migraine,"Nausea, Sensitivity to light",Paracetamol,1 tablet every 12 hours
Hypertension,"Headache, Dizziness, Blurred vision",Prednisone,Apply cream twice a day
Arthritis,"Jaundice, Dark urine, Fatigue",Prednisone,Take before sleep
Sinusitis,"Nausea, Vomiting, Diarrhea",Loratadine,Take before sleep
Hepatitis B,"Wheezing, Shortness of breath",Chloroquine,Take 1 tablet every 6 hours
Typhoid,"Wheezing, Shortness of breath",Cetirizine,Inject once daily
Measles,"Skin rash, Fever",Artemether,Take 1 tablet every 6 hours
Common Cold,"Joint pain, Swelling",Zinc Sulfate,Take 2 tablets daily after meals
Sinusitis,"Headache, Dizziness, Blurred vision",Doxycycline,1 tablet every 12 hours
Hepatitis C,"Wheezing, Shortness of breath",Vitamin C,1 capsule every morning with food
Dengue,"Swollen salivary glands, Fever",Loratadine,Take 1 tablet every 6 hours
Measles,"Nausea, Sensitivity to light",Rifampin,1 tablet every 12 hours
Chickenpox,"Abdominal pain, High fever, Loss of appetite",Cetirizine,Use inhaler as needed
Mumps,"Wheezing, Shortness of breath",Ibuprofen,Take with water after meals
Food Poisoning,"Cough, Mucus production",Omeprazole,Inject once daily
Hepatitis B,"Swollen salivary glands, Fever",Cetirizine,Take before sleep
Chickenpox,"Sneezing, Sore throat",Doxycycline,Take with water after meals
Typhoid,"Nausea, Sensitivity to light",Chloroquine,Take 2 tablets daily after meals
Mumps,"Fever, Cough, Fatigue",Vitamin C,1 tablet every 12 hours
Dengue,"Joint pain, Swelling",Loratadine,Take before sleep
Asthma,"Sneezing, Sore throat",Omeprazole,Apply cream twice a day
Measles,"Sneezing, Sore throat",Zinc Sulfate,Take 1 tablet every 6 hours
Mumps,"Fever, Loss of taste/smell",Ibuprofen,Take 2 tablets daily after meals
Diabetes,"Swollen salivary glands, Fever",Chloroquine,1 capsule every morning with food
Migraine,"Wheezing, Shortness of breath",Aspirin,1 capsule every morning with food
Asthma,"Swollen salivary glands, Fever",Doxycycline,Take 1 tablet every 6 hours
Pneumonia,"Wheezing, Shortness of breath",Rifampin,Take 2 tablets daily after meals
Dengue,"Frequent urination, Increased thirst",Vitamin C,1 tablet every 12 hours
Sinusitis,"Fever, Loss of taste/smell",Ibuprofen,1 tablet every 12 hours
Pneumonia,"Red spots on skin, Fever",Paracetamol,Take with water after meals
Chickenpox,"Facial pain, Runny nose, Headache",Omeprazole,1 tablet every 12 hours
Hepatitis C,"Abdominal pain, High fever, Loss of appetite",Methotrexate,Take 2 tablets daily after meals
Diabetes,"Swollen salivary glands, Fever",Metformin,Take with water after meals
Common Cold,"Chills, Sweating, Muscle pain",Losartan,Use inhaler as needed
Pneumonia,"Fever, Cough, Fatigue",Losartan,Apply cream twice a day
Typhoid,"Chills, Sweating, Muscle pain",Ibuprofen,Take 1 tablet every 6 hours
Mumps,"Frequent urination, Increased thirst",Ibuprofen,Take 2 tablets daily after meals
Typhoid,"Swollen salivary glands, Fever",Chloroquine,Take 1 tablet every 6 hours
Sinusitis,"Skin rash, Fever",Prednisone,Use inhaler as needed
Dengue,"Nausea, Vomiting, Diarrhea",Artemether,Use inhaler as needed
Dengue,"Nausea, Vomiting, Diarrhea",Metformin,Take with water after meals
Hepatitis B,"Frequent urination, Increased thirst",Losartan,Take with water after meals
Hypertension,"Red spots on skin, Fever",Hydroxychloroquine,1 capsule every morning with food
Pneumonia,"Nausea, Vomiting, Diarrhea",Amoxicillin,Take 1 tablet every 6 hours
Mumps,"Wheezing, Shortness of breath",Methotrexate,1 tablet every 12 hours
Asthma,"Persistent cough, Weight loss, Night sweats",Cetirizine,Take 2 tablets daily after meals
Pneumonia,"Red spots on skin, Fever",Hydroxychloroquine,Apply cream twice a day
Diabetes,"Swollen salivary glands, Fever",Chloroquine,Take before sleep
Diabetes,"Persistent cough, Weight loss, Night sweats",Losartan,1 capsule every morning with food
Diabetes,"Nausea, Sensitivity to light",Isoniazid,Inject once daily
Influenza,"Skin rash, Fever",Amoxicillin,Take before sleep
Common Cold,"Fever, Loss of taste/smell",Hydroxychloroquine,Use inhaler as needed
Bronchitis,"Jaundice, Dark urine, Fatigue",Isoniazid,Take 1 tablet every 6 hours
Tuberculosis,"Fever, Cough, Fatigue",Rifampin,Use inhaler as needed
Diabetes,"Facial pain, Runny nose, Headache",Prednisone,Take before sleep
Hypertension,"Headache, Dizziness, Blurred vision",Paracetamol,Take 1 tablet every 6 hours
Influenza,"Frequent urination, Increased thirst",Amoxicillin,Take before sleep
Asthma,"Abdominal pain, High fever, Loss of appetite",Amoxicillin,Take 5ml syrup before bedtime
Chickenpox,"Wheezing, Shortness of breath",Paracetamol,1 capsule every morning with food
Bronchitis,"Swollen salivary glands, Fever",Hydroxychloroquine,Apply cream twice a day
Pneumonia,"Frequent urination, Increased thirst",Aspirin,1 tablet every 12 hours
Chickenpox,"Persistent cough, Weight loss, Night sweats",Rifampin,Apply cream twice a day
Hepatitis C,"Persistent cough, Weight loss, Night sweats",Ibuprofen,Take with water after meals
Hepatitis C,"Facial pain, Runny nose, Headache",Artemether,Take 5ml syrup before bedtime
Influenza,"Red spots on skin, Fever",Losartan,Apply cream twice a day
Chickenpox,"Swollen salivary glands, Fever",Azithromycin,Take 2 tablets daily after meals
Hepatitis B,"Swollen salivary glands, Fever",Rifampin,1 capsule every morning with food
Hepatitis B,"Facial pain, Runny nose, Headache",Azithromycin,Take 2 tablets daily after meals
Sinusitis,"Frequent urination, Increased thirst",Rifampin,Take 5ml syrup before bedtime
Hypertension,"Skin rash, Fever",Omeprazole,Take 1 tablet every 6 hours
Food Poisoning,"Red spots on skin, Fever",Ibuprofen,Take 2 tablets daily after meals
Pneumonia,"Headache, Dizziness, Blurred vision",Vitamin C,Use inhaler as needed
Sinusitis,"Nausea, Sensitivity to light",Metformin,Use inhaler as needed
Hepatitis C,"Jaundice, Dark urine, Fatigue",Paracetamol,Take with water after meals
COVID-19,"Joint pain, Swelling",Aspirin,Take before sleep
Influenza,"Persistent cough, Weight loss, Night sweats",Loratadine,Take 2 tablets daily after meals
Arthritis,"Sneezing, Sore throat",Aspirin,1 tablet every 12 hours
Malaria,"Abdominal pain, High fever, Loss of appetite",Prednisone,Take with water after meals
Dengue,"Joint pain, Swelling",Hydroxychloroquine,Apply cream twice a day
Bronchitis,"Skin rash, High fever, Bleeding gums",Artemether,Take with water after meals
Food Poisoning,"Abdominal pain, High fever, Loss of appetite",Isoniazid,Take 1 tablet every 6 hours
Common Cold,"Swollen salivary glands, Fever",Loratadine,Take with water after meals
Typhoid,"Nausea, Sensitivity to light",Artemether,Take 2 tablets daily after meals
COVID-19,"Frequent urination, Increased thirst",Artemether,Take before sleep
Measles,"Fever, Loss of taste/smell",Zinc Sulfate,1 tablet every 12 hours
Bronchitis,"Fever, Loss of taste/smell",Isoniazid,Take 1 tablet every 6 hours
Chickenpox,"Abdominal pain, High fever, Loss of appetite",Rifampin,Take with water after meals
Bronchitis,"Persistent cough, Weight loss, Night sweats",Metformin,Take 2 tablets daily after meals
Migraine,"Nausea, Vomiting, Diarrhea",Artemether,Apply cream twice a day
Mumps,"Chills, Sweating, Muscle pain",Artemether,Take with water after meals
Hypertension,"Jaundice, Dark urine, Fatigue",Hydroxychloroquine,Take 1 tablet every 6 hours
Bronchitis,"Red spots on skin, Fever",Azithromycin,Take with water after meals
Influenza,"Nausea, Vomiting, Diarrhea",Zinc Sulfate,Take 2 tablets daily after meals
Asthma,"Fever, Loss of taste/smell",Zinc Sulfate,Use inhaler as needed
Dengue,"Jaundice, Dark urine, Fatigue",Hydroxychloroquine,Take 1 tablet every 6 hours
COVID-19,"Headache, Dizziness, Blurred vision",Vitamin C,Take 5ml syrup before bedtime
Asthma,"Swollen salivary glands, Fever",Vitamin C,1 capsule every morning with food
Sinusitis,"Persistent cough, Weight loss, Night sweats",Vitamin C,Take 5ml syrup before bedtime
Chickenpox,"Joint pain, Swelling",Doxycycline,1 tablet every 12 hours
Mumps,"Frequent urination, Increased thirst",Losartan,Take with water after meals
Typhoid,"Red spots on skin, Fever",Loratadine,Take 1 tablet every 6 hours
Sinusitis,"Facial pain, Runny nose, Headache",Omeprazole,Apply cream twice a day
Hepatitis B,"Frequent urination, Increased thirst",Azithromycin,Inject once daily
Measles,"Skin rash, Fever",Rifampin,Take 2 tablets daily after meals
Sinusitis,"Headache, Dizziness, Blurred vision",Methotrexate,Take before sleep
Hepatitis B,"Skin rash, Fever",Metformin,Apply cream twice a day
Measles,"Swollen salivary glands, Fever",Cetirizine,1 tablet every 12 hours
Common Cold,"Nausea, Vomiting, Diarrhea",Methotrexate,Inject once daily
Arthritis,"Skin rash, Fever",Cetirizine,Take 2 tablets daily after meals
Bronchitis,"Joint pain, Swelling",Isoniazid,Apply cream twice a day
Dengue,"Fever, Cough, Fatigue",Artemether,Use inhaler as needed
Hypertension,"Skin rash, High fever, Bleeding gums",Rifampin,Use inhaler as needed
Common Cold,"Shortness of breath, Chest pain",Ventolin,Inject once daily
Chickenpox,"Chills, Sweating, Muscle pain",Methotrexate,Apply cream twice a day
Arthritis,"Chills, Sweating, Muscle pain",Methotrexate,Use inhaler as needed
Sinusitis,"Red spots on skin, Fever",Hydroxychloroquine,Take 1 tablet every 6 hours
Mumps,"Red spots on skin, Fever",Paracetamol,Use inhaler as needed
Mumps,"Fever, Cough, Fatigue",Loratadine,Take with water after meals
Influenza,"Facial pain, Runny nose, Headache",Zinc Sulfate,Take 2 tablets daily after meals
Food Poisoning,"Facial pain, Runny nose, Headache",Vitamin C,Inject once daily
Arthritis,"Swollen salivary glands, Fever",Aspirin,Take 2 tablets daily after meals
Bronchitis,"Wheezing, Shortness of breath",Prednisone,Take with water after meals
Sinusitis,"Fever, Loss of taste/smell",Aspirin,Take 1 tablet every 6 hours
Food Poisoning,"Chills, Sweating, Muscle pain",Zinc Sulfate,Take 2 tablets daily after meals
Food Poisoning,"Sneezing, Sore throat",Omeprazole,1 tablet every 12 hours
Common Cold,"Abdominal pain, High fever, Loss of appetite",Ibuprofen,Apply cream twice a day
Measles,"Sneezing, Sore throat",Isoniazid,Take 5ml syrup before bedtime
Typhoid,"Frequent urination, Increased thirst",Metformin,Take 5ml syrup before bedtime
Typhoid,"Skin rash, Fever",Zinc Sulfate,Use inhaler as needed
Mumps,"Swollen salivary glands, Fever",Methotrexate,Use inhaler as needed
Bronchitis,"Shortness of breath, Chest pain",Ibuprofen,Use inhaler as needed
Hepatitis B,"Cough, Mucus production",Doxycycline,Inject once daily
Common Cold,"Fever, Cough, Fatigue",Ibuprofen,Apply cream twice a day
Pneumonia,"Jaundice, Dark urine, Fatigue",Vitamin C,Use inhaler as needed
Chickenpox,"Swollen salivary glands, Fever",Cetirizine,Take 5ml syrup before bedtime
Food Poisoning,"Abdominal pain, High fever, Loss of appetite",Artemether,Take 2 tablets daily after meals
COVID-19,"Jaundice, Dark urine, Fatigue",Doxycycline,Apply cream twice a day
Asthma,"Skin rash, Fever",Paracetamol,Use inhaler as needed
Influenza,"Frequent urination, Increased thirst",Losartan,Take 1 tablet every 6 hours
Sinusitis,"Facial pain, Runny nose, Headache",Amoxicillin,Take before sleep
Arthritis,"Fever, Cough, Fatigue",Azithromycin,Use inhaler as needed
Arthritis,"Abdominal pain, High fever, Loss of appetite",Azithromycin,Take 2 tablets daily after meals
Mumps,"Nausea, Vomiting, Diarrhea",Omeprazole,1 tablet every 12 hours
Migraine,"Abdominal pain, High fever, Loss of appetite",Aspirin,Take before sleep
Malaria,"Frequent urination, Increased thirst",Ventolin,Take 5ml syrup before bedtime
Influenza,"Jaundice, Dark urine, Fatigue",Azithromycin,Take 5ml syrup before bedtime
Pneumonia,"Fever, Cough, Fatigue",Rifampin,Take 2 tablets daily after meals
Hepatitis C,"Persistent cough, Weight loss, Night sweats",Hydroxychloroquine,Take before sleep
Tuberculosis,"Jaundice, Dark urine, Fatigue",Prednisone,1 capsule every morning with food
Asthma,"Red spots on skin, Fever",Amoxicillin,Use inhaler as needed
Common Cold,"Nausea, Vomiting, Diarrhea",Ventolin,Take 1 tablet every 6 hours
Arthritis,"Persistent cough, Weight loss, Night sweats",Amoxicillin,Use inhaler as needed
Malaria,"Fever, Loss of taste/smell",Aspirin,Inject once daily
Tuberculosis,"Nausea, Sensitivity to light",Losartan,Take 2 tablets daily after meals
Pneumonia,"Skin rash, Fever",Ventolin,Inject once daily
Hepatitis B,"Frequent urination, Increased thirst",Chloroquine,Inject once daily
Hepatitis C,"Joint pain, Swelling",Zinc Sulfate,Take 2 tablets daily after meals
Typhoid,"Nausea, Sensitivity to light",Doxycycline,Take before sleep
Measles,"Nausea, Vomiting, Diarrhea",Ibuprofen,Use inhaler as needed
Typhoid,"Skin rash, High fever, Bleeding gums",Vitamin C,Inject once daily
Typhoid,"Headache, Dizziness, Blurred vision",Hydroxychloroquine,Use inhaler as needed
Malaria,"Fever, Cough, Fatigue",Ibuprofen,Take with water after meals
Sinusitis,"Skin rash, Fever",Methotrexate,Take 1 tablet every 6 hours
Migraine,"Abdominal pain, High fever, Loss of appetite",Methotrexate,1 tablet every 12 hours
Pneumonia,"Skin rash, High fever, Bleeding gums",Doxycycline,Take 5ml syrup before bedtime
Mumps,"Cough, Mucus production",Chloroquine,1 tablet every 12 hours
Measles,"Facial pain, Runny nose, Headache",Metformin,Inject once daily
Measles,"Joint pain, Swelling",Metformin,Take with water after meals
Sinusitis,"Skin rash, High fever, Bleeding gums",Isoniazid,Take with water after meals
Common Cold,"Jaundice, Dark urine, Fatigue",Methotrexate,Use inhaler as needed
Typhoid,"Headache, Dizziness, Blurred vision",Methotrexate,Take before sleep
Food Poisoning,"Nausea, Sensitivity to light",Isoniazid,Take 5ml syrup before bedtime
Typhoid,"Shortness of breath, Chest pain",Omeprazole,1 tablet every 12 hours
Chickenpox,"Frequent urination, Increased thirst",Methotrexate,Apply cream twice a day
Hypertension,"Frequent urination, Increased thirst",Aspirin,Take before sleep
Measles,"Nausea, Sensitivity to light",Omeprazole,Take 1 tablet every 6 hours
Diabetes,"Skin rash, High fever, Bleeding gums",Aspirin,Take 5ml syrup before bedtime
Measles,"Nausea, Vomiting, Diarrhea",Cetirizine,1 capsule every morning with food
Dengue,"Fever, Cough, Fatigue",Loratadine,1 capsule every morning with food
Pneumonia,"Skin rash, Fever",Doxycycline,Take 2 tablets daily after meals
Sinusitis,"Red spots on skin, Fever",Amoxicillin,Inject once daily
Hypertension,"Joint pain, Swelling",Hydroxychloroquine,Take before sleep
Hypertension,"Fever, Cough, Fatigue",Azithromycin,Inject once daily
Diabetes,"Cough, Mucus production",Cetirizine,Use inhaler as needed
Measles,"Shortness of breath, Chest pain",Paracetamol,Take 2 tablets daily after meals
Hypertension,"Nausea, Sensitivity to light",Artemether,1 tablet every 12 hours
Dengue,"Jaundice, Dark urine, Fatigue",Losartan,Take 2 tablets daily after meals
Mumps,"Frequent urination, Increased thirst",Losartan,1 capsule every morning with food
Bronchitis,"Skin rash, High fever, Bleeding gums",Chloroquine,Take with water after meals
Measles,"Skin rash, High fever, Bleeding gums",Omeprazole,Take with water after meals
Mumps,"Skin rash, High fever, Bleeding gums",Paracetamol,1 tablet every 12 hours
Mumps,"Facial pain, Runny nose, Headache",Rifampin,Take before sleep
Sinusitis,"Cough, Mucus production",Cetirizine,Take with water after meals
Arthritis,"Nausea, Sensitivity to light",Prednisone,Take before sleep
